AADFYear,CP,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_km,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2009","80441","Scotland","Glasgow City","A814","PU","257910","665290","M8 Slips","A804","0.3","0.18","1","122","22704","446","3055","528","160","172","85","222","218","1385","27712"
"2009","80442","Scotland","Glasgow City","M8","TM","257957","665240","A814","M8","0.4","0.24","0","29","7172","27","902","118","9","40","7","8","7","189","8319"
"2009","80443","Scotland","Glasgow City","M8","TM","258206","665520","M8","Pitt Street","0.5","0.31","0","74","16165","539","1370","159","12","3","15","14","7","210","18358"
"2009","80444","Scotland","Glasgow City","M8","TM","258232","665400","M8","Waterloo Street","0.5","0.31","0","29","5629","362","444","49","9","2","3","4","4","71","6535"
"2009","80445","Scotland","Glasgow City","M8","TM","257909","665335","A814","M8","0.6","0.37","0","46","9000","61","1175","189","27","57","14","14","28","329","10611"
"2009","80446","Scotland","Glasgow City","M8","TM","258000","664720","A8","M8 Slips","0.5","0.31","0","314","70655","601","10310","2406","276","289","85","1637","330","5023","86903"
"2009","80447","Scotland","Glasgow City","M8","TM","258000","665116","M8","M8","0.2","0.12","0","355","53000","789","8897","1816","419","331","224","655","913","4358","67399"
"2009","80448","Scotland","Glasgow City","A814","PU","257600","665340","A814","M8 Slips","0.4","0.24","0","156","39010","834","5159","923","173","429","75","166","201","1967","47126"
"2009","80504","Scotland","Glasgow City","M80","TM","263000","667500","1","2","3","1.86","0","227","52129","1002","6964","1649","331","436","166","588","699","3869","64191"
"2009","80505","Scotland","Glasgow City","M80","TM","264300","668810","2","LA Boundary","1.2","0.74","0","247","43397","791","6060","1272","257","399","146","893","673","3640","54135"
"2009","80585","Scotland","Glasgow City","M77","TM","256000","663540","1","M8","1.8","1.11","0","249","51458","505","6589","1189","246","197","271","699","351","2953","61754"
"2009","80586","Scotland","Glasgow City","M74","TM","266000","662200","3","2","3","1.86","0","110","32864","162","7481","1621","543","569","186","696","471","4086","44703"
